"school_id","school_name","year","long_name","primary_category","student_count_total","student_count_low_income","student_count_black","student_count_hispanic","student_count_white","student_count_asian","student_count_native_american","student_count_other_ethnicity","student_count_asian_pacific_islander","student_count_multi","student_count_hawaiian_pacific_islander","student_count_ethnicity_not_available","number_students_tested_ela","percent_did_not_meet_ela","percent_partially_met_ela","percent_approached_ela","percent_met_ela","percent_exceeded_ela","percent_met_or_exceeded_ela","number_students_tested_math","percent_did_not_meet_math","percent_partially_met_math","percent_approached_math","percent_met_math","percent_exceeded_math","percent_met_or_exceeded_math"
400115,"CATALYST - MARIA",2018,"Catalyst - Maria Charter School","ES",1093,662,483,585,17,2,0,0,0,5,1,0,353,22.7,29.2,28.3,19.3,0.6,19.8,354,28,37.9,20.3,13.6,0.3,13.8
609947,"GRAHAM ES",2018,"Alexander Graham Elementary School","ES",409,369,109,195,103,0,1,0,0,1,0,0,270,17.8,22.6,31.9,26.3,1.5,27.8,271,18.1,37.3,30.6,14,0,14
610353,"CALMECA",2018,"Calmeca Academy of Fine Arts and Dual Language","ES",775,435,8,754,3,9,1,0,0,0,0,0,482,28,28.2,27.4,14.7,1.7,16.4,485,24.5,41,23.7,10.1,0.6,10.7
610141,"RAVENSWOOD",2018,"Ravenswood Elementary School","ES",547,185,52,196,232,16,0,0,0,49,2,0,302,9.3,9.3,21.2,41.7,18.5,60.3,303,6.9,19.5,26.1,39.3,8.3,47.5
609976,"HAYT",2018,"Stephen K Hayt Elementary School","ES",948,810,160,422,95,241,10,0,0,17,3,0,555,14.6,20.9,27,32.4,5,37.5,574,19.3,28.4,28.4,22,1.9,23.9
610039,"VON LINNE",2018,"Carl von Linne Elementary School","ES",665,341,24,554,60,9,6,0,0,7,4,1,367,12.3,25.3,29.4,29.7,3.3,33,368,11.4,29.3,25.3,29.1,4.9,34
610076,"MOOS",2018,"Bernhard Moos Elementary School","ES",435,375,62,345,21,4,1,0,0,2,0,0,232,28,28.4,28,14.2,1.3,15.5,238,24.8,38.7,25.2,11.3,0,11.3
610313,"DE DIEGO",2018,"Jose De Diego Elementary Community Academy","ES",596,426,154,388,25,7,2,0,0,9,0,11,325,37.8,29.8,21.2,11.1,0,11.1,320,43.1,35.3,16.6,4.7,0.3,5
400167,"HORIZON - SOUTHWEST",2018,"Horizon Science Academy Southwest Chicago Charter","ES",737,508,221,502,3,0,1,0,0,3,0,7,368,22.8,28.5,29.1,17.9,1.6,19.6,368,21.7,34.2,28.3,14.4,1.4,15.8
609954,"GREGORY",2018,"John Milton Gregory Elementary School","ES",332,302,329,3,0,0,0,0,0,0,0,0,202,36.6,32.7,25.7,4.5,0.5,5,201,33.8,33.8,25.9,6.5,0,6.5
609834,"LITTLE VILLAGE",2018,"Little Village Elementary School","ES",753,730,3,747,2,0,1,0,0,0,0,0,543,16.8,24.3,33.3,23,2.6,25.6,545,14.1,39.1,31.2,15.4,0.2,15.6
400092,"CICS - BOND",2018,"CICS - Lloyd Bond","ES",366,355,348,3,0,0,0,0,0,1,1,13,193,30.1,31.6,26.9,11.4,0,11.4,192,25,43.2,24,7.8,0,7.8
609805,"JOPLIN",2018,"Scott Joplin Elementary School","ES",439,349,428,5,5,0,0,0,0,1,0,0,246,28.5,27.6,28.5,14.2,1.2,15.4,246,25.2,35.4,24.8,14.2,0.4,14.6
609856,"CLAY",2018,"Henry Clay Elementary School","ES",587,399,75,450,42,2,7,0,0,11,0,0,371,23.2,35.6,25.3,15.4,0.5,15.9,374,30.5,31.6,25.9,11.8,0.3,12
400171,"FOUNDATIONS",2018,"Foundations College Preparatory Charter School","HS",264,189,250,8,0,0,0,0,0,1,0,5,113,36.3,33.6,21.2,8,0.9,8.8,115,40,37.4,17.4,5.2,0,5.2
610329,"OROZCO",2018,"Orozco Fine Arts & Sciences Elementary School","ES",539,275,9,522,1,2,1,0,0,1,0,3,409,17.4,20.5,26.9,32.3,2.9,35.2,413,22.5,26.2,24.7,24.2,2.4,26.6
610191,"STONE",2018,"Stone Elementary Scholastic Academy","ES",623,215,126,103,192,166,3,0,0,30,3,0,360,9.4,9.4,20.3,45.8,15,60.8,355,8.5,14.9,26.5,42.3,7.9,50.1
609983,"HEDGES",2018,"James Hedges Elementary School","ES",610,566,10,590,7,0,1,0,0,1,0,1,402,36.6,31.8,19.4,10.9,1.2,12.2,409,39.1,36.7,17.8,6.1,0.2,6.4
610362,"EVERS",2018,"Medgar Evers Elementary School","ES",285,242,280,4,0,0,0,0,0,0,1,0,181,22.1,30.4,32,15.5,0,15.5,181,24.3,37.6,31.5,6.1,0.6,6.6
609961,"NINOS HEROES",2018,"Ninos Heroes Elementary Academic Center","ES",338,274,296,36,2,0,1,0,0,1,0,2,233,30,37.3,19.3,13.3,0,13.3,242,47.9,31.4,14.9,5.8,0,5.8
609891,"DOOLITTLE",2018,"James R Doolittle Jr Elementary School","ES",263,212,255,6,0,0,0,0,0,0,2,0,143,58,27.3,10.5,4.2,0,4.2,143,51.7,39.9,5.6,2.8,0,2.8
609793,"NICHOLSON",2018,"Lillian R. Nicholson STEM Academy","ES",456,431,437,16,0,1,0,0,0,2,0,0,317,50.5,26.5,18,4.7,0.3,5,312,51.9,35.3,10.3,2.6,0,2.6
609876,"DAVIS N",2018,"Nathan S Davis Elementary School","ES",734,724,17,690,23,3,1,0,0,0,0,0,440,26.8,31.6,24.5,16.4,0.7,17,447,22.6,37.6,24.4,15.2,0.2,15.4
610227,"WHITNEY",2018,"Eli Whitney Elementary School","ES",900,779,3,888,7,0,2,0,0,0,0,0,630,19.8,23.5,32.4,23.2,1.1,24.3,639,20.3,28.6,28.3,20.8,1.9,22.7
610159,"SCAMMON",2018,"Jonathan Y Scammon Elementary School","ES",710,470,11,633,46,9,4,0,0,4,3,0,482,19.5,19.1,26.8,30.9,3.7,34.6,484,16.9,27.9,24.4,28.9,1.9,30.8
609773,"AGASSIZ",2018,"Louis A Agassiz Elementary School","ES",500,155,98,147,202,23,1,0,0,29,0,0,249,9.6,15.3,26.9,39.4,8.8,48.2,245,9.4,20.8,35.5,29.8,4.5,34.3
